State,Larceny_Theft
Alabama,2650.0
Alaska,2599.1
Arizona,2965.2
Arkansas,2711.2
California,1916.5
Colorado,2735.2
Connecticut,1824.1
Delaware,2144.0
District of Columbia,2694.9
Florida,2658.3
Georgia,2751.1
Hawaii,3308.4
Idaho,1931.7
Illinois,2164.8
Indiana,2412.0
Iowa,2042.7
Kansas,2758.1
Kentucky,1685.8
Louisiana,2494.5
Maine,1832.6
Maryland,2294.3
Massachusetts,1527.4
Michigan,1917.8
Minnesota,2226.9
Mississippi,2083.9
Missouri,2746.2
Montana,2543.0
Nebraska,2574.3
Nevada,2153.9
New Hampshire,1377.3
New Jersey,1568.4
New Mexico,2639.9
New York,1569.6
North Carolina,2546.2
North Dakota,1500.3
Ohio,2429.0
Oklahoma,2644.2
Oregon,3112.2
Pennsylvania,1729.1
Rhode Island,1816.0
South Carolina,2954.1
South Dakota,1343.7
Tennessee,2828.1
Texas,2961.7
Utah,2918.8
Vermont,1686.1
Virginia,2035.0
Washington,3149.5
West Virginia,1794.0
Wisconsin,1992.8
Wyoming,2533.9
